Brand,Processor,OS,RAM,RAM_Type,SSD,Display,Selling_Price,Original_Price,Discount_on_OriginalPrice,Rating
ASUS,Intel Core 5,Windows 11 Home,16,DDR5,512 GB,16,"86,990","1,07,990",19,4.3
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
DELL,AMD Ryzen 7 Octa Core,Windows 11,16,DDR4,512 GB,15,"52,990","66,920",20,3.9
ASUS,Intel Core i3,Windows 11 Home,16,DDR4,512 GB,15.6,"46,990","54,990",14,4.3
HP,Intel Core i5,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,999","92,746",34,4.3
Acer,Intel Celeron Dual Core,Windows 11,12,LPDDR4X,256 GB,14,"29,990","29,999",,3.9
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
DELL,Intel Core i5,Windows 11,16,DDR5,512 GB,15.6,"75,990","93,021",18,4.2
MSI,Intel Core i3,Windows 11,16,DDR4,512 GB,14,"40,382","47,990",15,4.4
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Lenovo,AMD Ryzen Z1 Extreme,Windows 11 Home,16,LPDDR5X,512 GB,8.8,"69,990","1,25,890",44,4.4
ASUS,Intel Core Ultra 5,Windows 11 Home,16,DDR5,512 GB,14,"72,990","98,990",26,4.3
ASUS,Intel Core i3,Windows 11 Home,16,DDR5,512 GB,14,"51,990","74,990",30,4.3
Lenovo,Intel Core i5,Windows 11 Home,16,DDR5,512 GB,,"59,977","81,390",26,4.3
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
Lenovo,AMD Ryzen 5 Quad Core,Windows 11,8,LPDDR5,512 GB,15.6,"41,990","65,690",36,4.1
Acer,AMD Ryzen 3 Quad Core,Windows 11,16,DDR4,512 GB,15.6,"36,855","59,999",38,3.9
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,16,LPDDR5X,512 GB,13.3,"67,990","79,890",14,4.1
Lenovo,Intel Core i3,64 bit Windows 11 Home,16,DDR4,512 GB,14,"43,990","74,990",41,4.3
ASUS,AMD Ryzen 5 Quad Core,Windows 11 Home,8,LPDDR5,512 GB,15.6,"38,990","50,990",23,4.3
Acer,AMD Ryzen 5 Hexa Core,Windows 11,8,DDR4,512 GB,15.6,"38,938","56,990",31,4.1
